h,fullname,last_obs_jd,last_obs,ts_max,ps_max,n_imp,ps_cum,des,v_inf,diameter,range,id,ip
18.54,(1979 XB),2444222.5,1979-12-15,0,-2.99,4,-2.69,1979 XB,23.7606234552547,0.66,2056-2113,bJ79X00B,8.515158e-07
28.45,(2022 KK2),2459722.5,2022-05-23,0,-5.79,33,-5.59,2022 KK2,15.5694051293592,0.0069,2060-2122,bK22K02K,0.0001203297828
24.79,(2000 SG344),2451820.5,2000-10-03,0,-3.11,300,-2.77,2000 SG344,1.35802744453748,0.037,2069-2122,bK00SY4G,0.002743395186
26.95,(2012 VS76),2456247.5,2012-11-16,0,-6.05,15,-5.74,2012 VS76,11.4626328606267,0.014,2081-2120,bK12V76S,1.9442009e-05
26.19,(2018 GN),2458217.5,2018-04-09,0,-8.95,1,-8.95,2018 GN,20.20,0.02,2102-2102,bK18G00N,3.772e-09
26.32,(2011 TO),2456304.5,2013-01-12,0,-6.16,1,-6.16,2011 TO,8.55,0.018,2064-2064,bK11T00O,2.937e-06
26.51,(2012 BA102),2455978.5,2012-02-21,0,-6.27,20,-6.03,2012 BA102,7.21203952320587,0.017,2103-2122,bK12BA2A,1.22522146e-05
19.92,(2014 HN197),2456774.5,2014-04-27,0,-5.99,12,-5.51,2014 HN197,21.9988508209515,0.35,2069-2118,bK14HJ7N,6.5351e-09
24.51,(2005 UL6),2453696.5,2005-11-22,0,-6.95,6,-6.70,2005 UL6,12.3834503195676,0.042,2068-2119,bK05U06L,9.90088e-08
24.86,(2009 DV),2454886.5,2009-02-24,0,-7.38,2,-7.25,2009 DV,22.0982648784577,0.036,2044-2102,bK09D00V,3.1018e-08
27.85,(2009 EH1),2454895.5,2009-03-05,0,-10.57,1,-10.57,2009 EH1,10.69,0.0091,2068-2068,bK09E01H,5.902e-10
28.13,(2021 LY1),2459377.5,2021-06-12,0,-8.05,1,-8.05,2021 LY1,11.47,0.008,2040-2040,bK21L01Y,8.724e-08
26.58,(2021 NM3),2459408.5,2021-07-13,0,-6.48,8,-6.41,2021 NM3,8.21159723247776,0.016,2111-2120,bK21N03M,5.329099e-06
26.02,(2018 XX2),2458494.5,2019-01-11,0,-7.75,1,-7.75,2018 XX2,11.91,0.021,2106-2106,bK18X02X,8.859e-08
29.75,(2019 GP21),2458577.5,2019-04-04,0,-7.35,74,-6.79,2019 GP21,10.8171734948038,0.0038,2039-2122,bK19G21P,3.96111598e-05
30.01,(2018 WA1),2458444.5,2018-11-22,0,-7.88,77,-7.08,2018 WA1,3.03482112870115,0.0034,2085-2121,bK18W01A,6.1740984e-05
27.24,(2019 KJ4),2458642.5,2019-06-08,0,-6.20,201,-5.38,2019 KJ4,5.00834214719123,0.012,2059-2122,bK19K04J,9.80658349999999e-05
26.17,(2005 CM7),2453411.5,2005-02-10,0,-9.28,2,-9.12,2005 CM7,18.3491553544495,0.02,2090-2120,bK05C07M,2.652e-09
27.83,(2017 QF3),2457986.5,2017-08-21,0,-6.08,69,-5.63,2017 QF3,12.7508470140192,0.00919,2043-2121,bK17Q03F,3.09793314e-05
29.12,(2019 NX5),2458675.5,2019-07-11,0,-6.79,121,-6.46,2019 NX5,1.79631891148714,0.0051,2069-2122,bK19N05X,7.76027876e-05
25.78,(2019 UB2),2458791.5,2019-11-04,0,-8.40,1,-8.40,2019 UB2,9.85,0.024,2105-2105,bK19U02B,1.754e-08
27.42,(2019 VD),2458790.5,2019-11-03,0,-7.30,13,-6.74,2019 VD,11.218679877594,0.011,2087-2121,bK19V00D,4.283777e-06
25.64,(2020 OR4),2459056.5,2020-07-26,0,-5.59,19,-5.29,2020 OR4,21.3694823063251,0.025,2093-2121,bK20O04R,8.213274e-06
28.96,(2021 RF16),2459471.5,2021-09-14,0,-5.46,6,-5.35,2021 RF16,8.44364514473364,0.00548,2049-2054,bK21R16F,0.00024180867
25.62,(2025 XJ1),2461031.5,2025-12-22,0,-5.89,8,-5.61,2025 XJ1,15.3928795560526,0.025,2056-2114,bK25X01J,3.4693657e-06
29.13,(2025 YS1),2461031.5,2025-12-22,0,-9.33,1,-9.33,2025 YS1,9.14,0.005,2125-2125,bK25Y01S,1.092e-07
28.83,(2025 XZ3),2461027.5,2025-12-18,0,-8.65,4,-8.43,2025 XZ3,8.56115460771313,0.0058,2090-2115,bK25X03Z,5.5049e-07
23.56,(2025 YK1),2461035.5,2025-12-26,0,-6.35,1,-6.35,2025 YK1,33.76,0.066,2104-2104,bK25Y01K,4.095e-08
27.07,(2025 VX),2460988.5,2025-11-09,0,-5.84,24,-5.79,2025 VX,6.3171881246876,0.013,2074-2123,bK25V00X,3.22407653e-05
27.94,(2016 EM156),2457464.5,2016-03-17,0,-6.02,6,-6.00,2016 EM156,8.80973847928333,0.0087,2108-2116,bK16EF6M,5.856515e-05
23.35,(2013 NH6),2456489.5,2013-07-16,0,-6.13,2,-5.84,2013 NH6,21.7442111988848,0.073,2060-2060,bK13N06H,8.608e-08
27.77,(2013 UR1),2456595.5,2013-10-30,0,-6.89,5,-6.75,2013 UR1,21.6573149632534,0.0094,2043-2067,bK13U01R,9.87439e-07
27.82,(2014 TL),2456951.5,2014-10-21,0,-6.94,13,-6.75,2014 TL,10.7197943069632,0.0092,2072-2121,bK14T00L,6.602557e-06
28.29,(2014 UU56),2456958.5,2014-10-28,0,-9.31,7,-8.90,2014 UU56,8.1690067935888,0.00742,2088-2119,bK14U56U,9.8328e-08
29.43,(2015 DQ224),2457072.5,2015-02-19,0,-6.59,15,-6.14,2015 DQ224,13.6969246515665,0.00441,2045-2054,bK15DM4Q,3.96481939e-05
26.54,(2013 TV132),2456598.5,2013-11-02,0,-6.93,11,-6.48,2013 TV132,9.14938302382687,0.017,2091-2121,bK13TD2V,3.926197e-06
25.07,(2014 FX32),2456805.5,2014-05-28,0,-5.92,2,-5.92,2014 FX32,9.0496620939347,0.033,2076-2108,bK14F32X,1.627109e-06
25.89,(2015 CT13),2457108.5,2015-03-27,0,-9.20,1,-9.20,2015 CT13,6.48,0.022,2122-2122,bK15C13T,4.835e-09
23.36,(2015 YV1),2457400.5,2016-01-13,0,-7.44,2,-7.20,2015 YV1,17.6490680152751,0.072,2084-2108,bK15Y01V,9.689e-09
28.86,(2008 LD),2454627.5,2008-06-10,0,-6.97,142,-6.17,2008 LD,4.13173498806221,0.0057,2054-2122,bK08L00D,0.000116370403
23.21,(2008 PK9),2454686.5,2008-08-08,0,-4.92,3,-4.74,2008 PK9,26.3529332429443,0.0769,2049-2065,bK08P09K,5.6054e-07
26.86,(2010 TD),2455478.5,2010-10-09,0,-6.59,7,-6.28,2010 TD,18.8519643090526,0.014,2072-2091,bK10T00D,2.647394e-06
27.64,(2010 GV23),2455302.5,2010-04-16,0,-6.94,7,-6.89,2010 GV23,5.45506145092258,0.01,2096-2121,bK10G23V,7.02105e-06
26.59,(2016 GW220),2457498.5,2016-04-20,0,-9.95,1,-9.95,2016 GW220,13.32,0.016,2076-2076,bK16GM0W,5.907e-10
26.45,(2016 TQ2),2457671.5,2016-10-10,0,-6.01,18,-5.79,2016 TQ2,15.2111165977373,0.017,2110-2120,bK16T02Q,1.2006974e-05
28.26,(2022 UQ40),2459906.5,2022-11-23,0,-8.11,3,-8.04,2022 UQ40,8.4834299157999,0.0075,2066-2105,bK22U40Q,4.038e-07
24.51,(2022 UU14),2459885.5,2022-11-02,0,-5.58,7,-5.25,2022 UU14,28.9990519978397,0.0421,2052-2094,bK22U14U,1.281284e-06
